Time	direction	frame	subF	slot	1stSym	nSymbol	cellId	bwpId	rnti	tbSize	mcs	rank	rv	SINR(dB)	CQI	corrupt	TBler
0.203286	DL	20	3	0	1	3	1	0	1	1390	0	1	0	-31.0229	0	1	1
0.208929	DL	20	8	0	1	12	1	0	1	1390	0	1	1	-23.8858	0	1	1
0.213929	DL	21	3	0	1	12	1	0	1	1390	0	1	2	-23.7187	0	1	1
0.214286	DL	21	4	0	1	3	1	0	1	1390	0	1	0	-30.4662	0	1	1
0.218929	DL	21	8	0	1	12	1	0	1	1390	0	1	3	-23.5239	0	1	1
0.219929	DL	21	9	0	1	12	1	0	1	1390	0	1	1	-23.4216	0	1	1
0.223286	DL	22	3	0	1	3	1	0	1	1390	0	1	0	-30.4228	0	1	1
0.224929	DL	22	4	0	1	12	1	0	1	1390	0	1	2	-23.4455	0	1	1
0.228929	DL	22	8	0	1	12	1	0	1	1390	0	1	1	-23.3042	0	1	1
0.229929	DL	22	9	0	1	12	1	0	1	1390	0	1	3	-23.5322	0	1	1
0.233929	DL	23	3	0	1	12	1	0	1	1390	0	1	2	-23.3479	0	1	1
0.234286	DL	23	4	0	1	3	1	0	1	1390	0	1	0	-30.3987	0	1	1
0.238929	DL	23	8	0	1	12	1	0	1	1390	0	1	3	-23.4673	0	1	1
0.239929	DL	23	9	0	1	12	1	0	1	1390	0	1	1	-23.6372	0	1	1
0.243286	DL	24	3	0	1	3	1	0	1	1390	0	1	0	-30.3965	0	1	1
0.244929	DL	24	4	0	1	12	1	0	1	1390	0	1	2	-23.5502	0	1	1
0.248929	DL	24	8	0	1	12	1	0	1	1390	0	1	1	-23.628	0	1	1
0.249929	DL	24	9	0	1	12	1	0	1	1390	0	1	3	-23.3989	0	1	1
0.253929	DL	25	3	0	1	12	1	0	1	1390	0	1	2	-23.5625	0	1	1
0.254286	DL	25	4	0	1	3	1	0	1	1390	0	1	0	-30.3676	0	1	1
0.258929	DL	25	8	0	1	12	1	0	1	1390	0	1	3	-23.4399	0	1	1
0.259929	DL	25	9	0	1	12	1	0	1	1390	0	1	1	-23.2425	0	1	1
0.263286	DL	26	3	0	1	3	1	0	1	1390	0	1	0	-30.3968	0	1	1
0.264929	DL	26	4	0	1	12	1	0	1	1390	0	1	2	-23.3438	0	1	1
0.268929	DL	26	8	0	1	12	1	0	1	1390	0	1	1	-23.3526	0	1	1
0.269929	DL	26	9	0	1	12	1	0	1	1390	0	1	3	-23.5429	0	1	1
0.273929	DL	27	3	0	1	12	1	0	1	1390	0	1	2	-23.4692	0	1	1
0.274286	DL	27	4	0	1	3	1	0	1	1390	0	1	0	-30.453	0	1	1
0.278929	DL	27	8	0	1	12	1	0	1	1390	0	1	3	-23.6581	0	1	1
0.279929	DL	27	9	0	1	12	1	0	1	1390	0	1	1	-23.9143	0	1	1
0.283286	DL	28	3	0	1	3	1	0	1	1390	0	1	0	-30.4593	0	1	1
0.284929	DL	28	4	0	1	12	1	0	1	1390	0	1	2	-23.9478	0	1	1
0.288929	DL	28	8	0	1	12	1	0	1	1390	0	1	1	-23.961	0	1	1
0.289929	DL	28	9	0	1	12	1	0	1	1390	0	1	3	-23.8701	0	1	1
0.293929	DL	29	3	0	1	12	1	0	1	1390	0	1	2	-23.9611	0	1	1
0.294286	DL	29	4	0	1	3	1	0	1	1390	0	1	0	-30.4907	0	1	1
0.298929	DL	29	8	0	1	12	1	0	1	1390	0	1	3	-23.8525	0	1	1
0.299929	DL	29	9	0	1	12	1	0	1	1390	0	1	1	-23.5865	0	1	1
0.304929	DL	30	4	0	1	12	1	0	1	1390	0	1	2	-23.4866	0	1	1
0.309929	DL	30	9	0	1	12	1	0	1	1390	0	1	3	-23.3564	0	1	1
