Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0	1	0	1	-203.182
0	1	0	2	-202.292
0	1	0	3	-198.811
0	1	0	4	-202.637
0	1	0	5	-201.756
0	1	0	6	-199.443
0	1	0	7	-204.695
0	1	0	8	-201.814
0	1	0	9	-197.197
0	1	0	10	-200.931
0.005	1	0	1	-202.47
0.005	1	0	2	-199.31
0.005	1	0	3	-201.133
0.005	1	0	4	-202.788
0.005	1	0	5	-199.668
0.005	1	0	6	-204.883
0.005	1	0	7	-200.968
0.005	1	0	8	-202.144
0.005	1	0	9	-202.094
0.005	1	0	10	-205.56
0.01	1	0	1	-202.47
0.01	1	0	2	-199.31
0.01	1	0	3	-201.133
0.01	1	0	4	-202.788
0.01	1	0	5	-199.668
0.01	1	0	6	-204.883
0.01	1	0	7	-200.968
0.01	1	0	8	-202.144
0.01	1	0	9	-202.094
0.01	1	0	10	-205.56
0.015	1	0	1	-202.47
0.015	1	0	2	-199.31
0.015	1	0	3	-201.133
0.015	1	0	4	-202.788
0.015	1	0	5	-199.668
0.015	1	0	6	-204.883
0.015	1	0	7	-200.968
0.015	1	0	8	-202.144
0.015	1	0	9	-202.094
0.015	1	0	10	-205.56
0.02	1	0	1	-202.47
0.02	1	0	2	-199.31
0.02	1	0	3	-201.133
0.02	1	0	4	-202.788
0.02	1	0	5	-199.668
0.02	1	0	6	-204.883
0.02	1	0	7	-200.968
0.02	1	0	8	-202.144
0.02	1	0	9	-202.094
0.02	1	0	10	-205.56
0.022	1	0	1	-202.47
0.022	1	0	2	-199.31
0.022	1	0	3	-201.133
0.022	1	0	4	-202.788
0.022	1	0	5	-199.668
0.022	1	0	6	-204.883
0.022	1	0	7	-200.968
0.022	1	0	8	-202.144
0.022	1	0	9	-202.094
0.022	1	0	10	-205.56
0.024	1	0	1	-202.47
0.024	1	0	2	-199.31
0.024	1	0	3	-201.133
0.024	1	0	4	-202.788
0.024	1	0	5	-199.668
0.024	1	0	6	-204.883
0.024	1	0	7	-200.968
0.024	1	0	8	-202.144
0.024	1	0	9	-202.094
0.024	1	0	10	-205.56
0.025	1	0	1	-202.47
0.025	1	0	2	-199.31
0.025	1	0	3	-201.133
0.025	1	0	4	-202.788
0.025	1	0	5	-199.668
0.025	1	0	6	-204.883
0.025	1	0	7	-200.968
0.025	1	0	8	-202.144
0.025	1	0	9	-202.094
0.025	1	0	10	-205.56
0.028	1	0	1	-202.47
0.028	1	0	2	-199.31
0.028	1	0	3	-201.133
0.028	1	0	4	-202.788
0.028	1	0	5	-199.668
0.028	1	0	6	-204.883
0.028	1	0	7	-200.968
0.028	1	0	8	-202.144
0.028	1	0	9	-202.094
0.028	1	0	10	-205.56
0.03	1	0	1	-202.47
0.03	1	0	2	-199.31
0.03	1	0	3	-201.133
0.03	1	0	4	-202.788
0.03	1	0	5	-199.668
0.03	1	0	6	-204.883
0.03	1	0	7	-200.968
0.03	1	0	8	-202.144
0.03	1	0	9	-202.094
0.03	1	0	10	-205.56
0.033	1	0	1	-202.47
0.033	1	0	2	-199.31
0.033	1	0	3	-201.133
0.033	1	0	4	-202.788
0.033	1	0	5	-199.668
0.033	1	0	6	-204.883
0.033	1	0	7	-200.968
0.033	1	0	8	-202.144
0.033	1	0	9	-202.094
0.033	1	0	10	-205.56
0.035	1	0	1	-202.47
0.035	1	0	2	-199.31
0.035	1	0	3	-201.133
0.035	1	0	4	-202.788
0.035	1	0	5	-199.668
0.035	1	0	6	-204.883
0.035	1	0	7	-200.968
0.035	1	0	8	-202.144
0.035	1	0	9	-202.094
0.035	1	0	10	-205.56
0.04	1	0	1	-202.47
0.04	1	0	2	-199.31
0.04	1	0	3	-201.133
0.04	1	0	4	-202.788
0.04	1	0	5	-199.668
0.04	1	0	6	-204.883
0.04	1	0	7	-200.968
0.04	1	0	8	-202.144
0.04	1	0	9	-202.094
0.04	1	0	10	-205.56
0.044	1	0	1	-202.47
0.044	1	0	2	-199.31
0.044	1	0	3	-201.133
0.044	1	0	4	-202.788
0.044	1	0	5	-199.668
0.044	1	0	6	-204.883
0.044	1	0	7	-200.968
0.044	1	0	8	-202.144
0.044	1	0	9	-202.094
0.044	1	0	10	-205.56
0.045	1	0	1	-202.47
0.045	1	0	2	-199.31
0.045	1	0	3	-201.133
0.045	1	0	4	-202.788
0.045	1	0	5	-199.668
0.045	1	0	6	-204.883
0.045	1	0	7	-200.968
0.045	1	0	8	-202.144
0.045	1	0	9	-202.094
0.045	1	0	10	-205.56
0.05	1	0	1	-202.47
0.05	1	0	2	-199.31
0.05	1	0	3	-201.133
0.05	1	0	4	-202.788
0.05	1	0	5	-199.668
0.05	1	0	6	-204.883
0.05	1	0	7	-200.968
0.05	1	0	8	-202.144
0.05	1	0	9	-202.094
0.05	1	0	10	-205.56
0.052	1	0	1	-202.47
0.052	1	0	2	-199.31
0.052	1	0	3	-201.133
0.052	1	0	4	-202.788
0.052	1	0	5	-199.668
0.052	1	0	6	-204.883
0.052	1	0	7	-200.968
0.052	1	0	8	-202.144
0.052	1	0	9	-202.094
0.052	1	0	10	-205.56
0.055	1	0	1	-202.47
0.055	1	0	2	-199.31
0.055	1	0	3	-201.133
0.055	1	0	4	-202.788
0.055	1	0	5	-199.668
0.055	1	0	6	-204.883
0.055	1	0	7	-200.968
0.055	1	0	8	-202.144
0.055	1	0	9	-202.094
0.055	1	0	10	-205.56
0.06	1	0	1	-202.47
0.06	1	0	2	-199.31
0.06	1	0	3	-201.133
0.06	1	0	4	-202.788
0.06	1	0	5	-199.668
0.06	1	0	6	-204.883
0.06	1	0	7	-200.968
0.06	1	0	8	-202.144
0.06	1	0	9	-202.094
0.06	1	0	10	-205.56
0.064	1	0	1	-202.47
0.064	1	0	2	-199.31
0.064	1	0	3	-201.133
0.064	1	0	4	-202.788
0.064	1	0	5	-199.668
0.064	1	0	6	-204.883
0.064	1	0	7	-200.968
0.064	1	0	8	-202.144
0.064	1	0	9	-202.094
0.064	1	0	10	-205.56
0.065	1	0	1	-202.47
0.065	1	0	2	-199.31
0.065	1	0	3	-201.133
0.065	1	0	4	-202.788
0.065	1	0	5	-199.668
0.065	1	0	6	-204.883
0.065	1	0	7	-200.968
0.065	1	0	8	-202.144
0.065	1	0	9	-202.094
0.065	1	0	10	-205.56
0.07	1	0	1	-202.47
0.07	1	0	2	-199.31
0.07	1	0	3	-201.133
0.07	1	0	4	-202.788
0.07	1	0	5	-199.668
0.07	1	0	6	-204.883
0.07	1	0	7	-200.968
0.07	1	0	8	-202.144
0.07	1	0	9	-202.094
0.07	1	0	10	-205.56
0.072	1	0	1	-202.47
0.072	1	0	2	-199.31
0.072	1	0	3	-201.133
0.072	1	0	4	-202.788
0.072	1	0	5	-199.668
0.072	1	0	6	-204.883
0.072	1	0	7	-200.968
0.072	1	0	8	-202.144
0.072	1	0	9	-202.094
0.072	1	0	10	-205.56
0.075	1	0	1	-202.47
0.075	1	0	2	-199.31
0.075	1	0	3	-201.133
0.075	1	0	4	-202.788
0.075	1	0	5	-199.668
0.075	1	0	6	-204.883
0.075	1	0	7	-200.968
0.075	1	0	8	-202.144
0.075	1	0	9	-202.094
0.075	1	0	10	-205.56
0.08	1	0	1	-202.47
0.08	1	0	2	-199.31
0.08	1	0	3	-201.133
0.08	1	0	4	-202.788
0.08	1	0	5	-199.668
0.08	1	0	6	-204.883
0.08	1	0	7	-200.968
0.08	1	0	8	-202.144
0.08	1	0	9	-202.094
0.08	1	0	10	-205.56
0.085	1	0	1	-202.47
0.085	1	0	2	-199.31
0.085	1	0	3	-201.133
0.085	1	0	4	-202.788
0.085	1	0	5	-199.668
0.085	1	0	6	-204.883
0.085	1	0	7	-200.968
0.085	1	0	8	-202.144
0.085	1	0	9	-202.094
0.085	1	0	10	-205.56
0.09	1	0	1	-202.47
0.09	1	0	2	-199.31
0.09	1	0	3	-201.133
0.09	1	0	4	-202.788
0.09	1	0	5	-199.668
0.09	1	0	6	-204.883
0.09	1	0	7	-200.968
0.09	1	0	8	-202.144
0.09	1	0	9	-202.094
0.09	1	0	10	-205.56
0.095	1	0	1	-202.47
0.095	1	0	2	-199.31
0.095	1	0	3	-201.133
0.095	1	0	4	-202.788
0.095	1	0	5	-199.668
0.095	1	0	6	-204.883
0.095	1	0	7	-200.968
0.095	1	0	8	-202.144
0.095	1	0	9	-202.094
0.095	1	0	10	-205.56
0.1	1	0	1	-202.47
0.1	1	0	2	-199.31
0.1	1	0	3	-201.133
0.1	1	0	4	-202.788
0.1	1	0	5	-199.668
0.1	1	0	6	-204.883
0.1	1	0	7	-200.968
0.1	1	0	8	-202.144
0.1	1	0	9	-202.094
0.1	1	0	10	-205.56
0.102	1	0	1	-202.47
0.102	1	0	2	-199.31
0.102	1	0	3	-201.133
0.102	1	0	4	-202.788
0.102	1	0	5	-199.668
0.102	1	0	6	-204.883
0.102	1	0	7	-200.968
0.102	1	0	8	-202.144
0.102	1	0	9	-202.094
0.102	1	0	10	-205.56
0.104	1	0	1	-202.47
0.104	1	0	2	-199.31
0.104	1	0	3	-201.133
0.104	1	0	4	-202.788
0.104	1	0	5	-199.668
0.104	1	0	6	-204.883
0.104	1	0	7	-200.968
0.104	1	0	8	-202.144
0.104	1	0	9	-202.094
0.104	1	0	10	-205.56
0.105	1	0	1	-202.47
0.105	1	0	2	-199.31
0.105	1	0	3	-201.133
0.105	1	0	4	-202.788
0.105	1	0	5	-199.668
0.105	1	0	6	-204.883
0.105	1	0	7	-200.968
0.105	1	0	8	-202.144
0.105	1	0	9	-202.094
0.105	1	0	10	-205.56
0.108	1	0	1	-202.47
0.108	1	0	2	-199.31
0.108	1	0	3	-201.133
0.108	1	0	4	-202.788
0.108	1	0	5	-199.668
0.108	1	0	6	-204.883
0.108	1	0	7	-200.968
0.108	1	0	8	-202.144
0.108	1	0	9	-202.094
0.108	1	0	10	-205.56
0.11	1	0	1	-202.47
0.11	1	0	2	-199.31
0.11	1	0	3	-201.133
0.11	1	0	4	-202.788
0.11	1	0	5	-199.668
0.11	1	0	6	-204.883
0.11	1	0	7	-200.968
0.11	1	0	8	-202.144
0.11	1	0	9	-202.094
0.11	1	0	10	-205.56
0.113	1	0	1	-202.47
0.113	1	0	2	-199.31
0.113	1	0	3	-201.133
0.113	1	0	4	-202.788
0.113	1	0	5	-199.668
0.113	1	0	6	-204.883
0.113	1	0	7	-200.968
0.113	1	0	8	-202.144
0.113	1	0	9	-202.094
0.113	1	0	10	-205.56
0.115	1	0	1	-202.47
0.115	1	0	2	-199.31
0.115	1	0	3	-201.133
0.115	1	0	4	-202.788
0.115	1	0	5	-199.668
0.115	1	0	6	-204.883
0.115	1	0	7	-200.968
0.115	1	0	8	-202.144
0.115	1	0	9	-202.094
0.115	1	0	10	-205.56
0.12	1	0	1	-202.47
0.12	1	0	2	-199.31
0.12	1	0	3	-201.133
0.12	1	0	4	-202.788
0.12	1	0	5	-199.668
0.12	1	0	6	-204.883
0.12	1	0	7	-200.968
0.12	1	0	8	-202.144
0.12	1	0	9	-202.094
0.12	1	0	10	-205.56
0.124	1	0	1	-202.47
0.124	1	0	2	-199.31
0.124	1	0	3	-201.133
0.124	1	0	4	-202.788
0.124	1	0	5	-199.668
0.124	1	0	6	-204.883
0.124	1	0	7	-200.968
0.124	1	0	8	-202.144
0.124	1	0	9	-202.094
0.124	1	0	10	-205.56
0.125	1	0	1	-202.47
0.125	1	0	2	-199.31
0.125	1	0	3	-201.133
0.125	1	0	4	-202.788
0.125	1	0	5	-199.668
0.125	1	0	6	-204.883
0.125	1	0	7	-200.968
0.125	1	0	8	-202.144
0.125	1	0	9	-202.094
0.125	1	0	10	-205.56
0.13	1	0	1	-202.47
0.13	1	0	2	-199.31
0.13	1	0	3	-201.133
0.13	1	0	4	-202.788
0.13	1	0	5	-199.668
0.13	1	0	6	-204.883
0.13	1	0	7	-200.968
0.13	1	0	8	-202.144
0.13	1	0	9	-202.094
0.13	1	0	10	-205.56
0.132	1	0	1	-202.47
0.132	1	0	2	-199.31
0.132	1	0	3	-201.133
0.132	1	0	4	-202.788
0.132	1	0	5	-199.668
0.132	1	0	6	-204.883
0.132	1	0	7	-200.968
0.132	1	0	8	-202.144
0.132	1	0	9	-202.094
0.132	1	0	10	-205.56
0.135	1	0	1	-202.47
0.135	1	0	2	-199.31
0.135	1	0	3	-201.133
0.135	1	0	4	-202.788
0.135	1	0	5	-199.668
0.135	1	0	6	-204.883
0.135	1	0	7	-200.968
0.135	1	0	8	-202.144
0.135	1	0	9	-202.094
0.135	1	0	10	-205.56
0.14	1	0	1	-202.47
0.14	1	0	2	-199.31
0.14	1	0	3	-201.133
0.14	1	0	4	-202.788
0.14	1	0	5	-199.668
0.14	1	0	6	-204.883
0.14	1	0	7	-200.968
0.14	1	0	8	-202.144
0.14	1	0	9	-202.094
0.14	1	0	10	-205.56
0.144	1	0	1	-202.47
0.144	1	0	2	-199.31
0.144	1	0	3	-201.133
0.144	1	0	4	-202.788
0.144	1	0	5	-199.668
0.144	1	0	6	-204.883
0.144	1	0	7	-200.968
0.144	1	0	8	-202.144
0.144	1	0	9	-202.094
0.144	1	0	10	-205.56
0.145	1	0	1	-202.47
0.145	1	0	2	-199.31
0.145	1	0	3	-201.133
0.145	1	0	4	-202.788
0.145	1	0	5	-199.668
0.145	1	0	6	-204.883
0.145	1	0	7	-200.968
0.145	1	0	8	-202.144
0.145	1	0	9	-202.094
0.145	1	0	10	-205.56
0.15	1	0	1	-202.47
0.15	1	0	2	-199.31
0.15	1	0	3	-201.133
0.15	1	0	4	-202.788
0.15	1	0	5	-199.668
0.15	1	0	6	-204.883
0.15	1	0	7	-200.968
0.15	1	0	8	-202.144
0.15	1	0	9	-202.094
0.15	1	0	10	-205.56
0.152	1	0	1	-202.47
0.152	1	0	2	-199.31
0.152	1	0	3	-201.133
0.152	1	0	4	-202.788
0.152	1	0	5	-199.668
0.152	1	0	6	-204.883
0.152	1	0	7	-200.968
0.152	1	0	8	-202.144
0.152	1	0	9	-202.094
0.152	1	0	10	-205.56
0.155	1	0	1	-202.47
0.155	1	0	2	-199.31
0.155	1	0	3	-201.133
0.155	1	0	4	-202.788
0.155	1	0	5	-199.668
0.155	1	0	6	-204.883
0.155	1	0	7	-200.968
0.155	1	0	8	-202.144
0.155	1	0	9	-202.094
0.155	1	0	10	-205.56
0.16	1	0	1	-202.47
0.16	1	0	2	-199.31
0.16	1	0	3	-201.133
0.16	1	0	4	-202.788
0.16	1	0	5	-199.668
0.16	1	0	6	-204.883
0.16	1	0	7	-200.968
0.16	1	0	8	-202.144
0.16	1	0	9	-202.094
0.16	1	0	10	-205.56
0.165	1	0	1	-202.47
0.165	1	0	2	-199.31
0.165	1	0	3	-201.133
0.165	1	0	4	-202.788
0.165	1	0	5	-199.668
0.165	1	0	6	-204.883
0.165	1	0	7	-200.968
0.165	1	0	8	-202.144
0.165	1	0	9	-202.094
0.165	1	0	10	-205.56
0.17	1	0	1	-202.47
0.17	1	0	2	-199.31
0.17	1	0	3	-201.133
0.17	1	0	4	-202.788
0.17	1	0	5	-199.668
0.17	1	0	6	-204.883
0.17	1	0	7	-200.968
0.17	1	0	8	-202.144
0.17	1	0	9	-202.094
0.17	1	0	10	-205.56
0.175	1	0	1	-202.47
0.175	1	0	2	-199.31
0.175	1	0	3	-201.133
0.175	1	0	4	-202.788
0.175	1	0	5	-199.668
0.175	1	0	6	-204.883
0.175	1	0	7	-200.968
0.175	1	0	8	-202.144
0.175	1	0	9	-202.094
0.175	1	0	10	-205.56
0.18	1	0	1	-202.47
0.18	1	0	2	-199.31
0.18	1	0	3	-201.133
0.18	1	0	4	-202.788
0.18	1	0	5	-199.668
0.18	1	0	6	-204.883
0.18	1	0	7	-200.968
0.18	1	0	8	-202.144
0.18	1	0	9	-202.094
0.18	1	0	10	-205.56
0.182	1	0	1	-202.47
0.182	1	0	2	-199.31
0.182	1	0	3	-201.133
0.182	1	0	4	-202.788
0.182	1	0	5	-199.668
0.182	1	0	6	-204.883
0.182	1	0	7	-200.968
0.182	1	0	8	-202.144
0.182	1	0	9	-202.094
0.182	1	0	10	-205.56
0.184	1	0	1	-202.47
0.184	1	0	2	-199.31
0.184	1	0	3	-201.133
0.184	1	0	4	-202.788
0.184	1	0	5	-199.668
0.184	1	0	6	-204.883
0.184	1	0	7	-200.968
0.184	1	0	8	-202.144
0.184	1	0	9	-202.094
0.184	1	0	10	-205.56
0.185	1	0	1	-202.47
0.185	1	0	2	-199.31
0.185	1	0	3	-201.133
0.185	1	0	4	-202.788
0.185	1	0	5	-199.668
0.185	1	0	6	-204.883
0.185	1	0	7	-200.968
0.185	1	0	8	-202.144
0.185	1	0	9	-202.094
0.185	1	0	10	-205.56
0.188	1	0	1	-202.47
0.188	1	0	2	-199.31
0.188	1	0	3	-201.133
0.188	1	0	4	-202.788
0.188	1	0	5	-199.668
0.188	1	0	6	-204.883
0.188	1	0	7	-200.968
0.188	1	0	8	-202.144
0.188	1	0	9	-202.094
0.188	1	0	10	-205.56
0.19	1	0	1	-202.47
0.19	1	0	2	-199.31
0.19	1	0	3	-201.133
0.19	1	0	4	-202.788
0.19	1	0	5	-199.668
0.19	1	0	6	-204.883
0.19	1	0	7	-200.968
0.19	1	0	8	-202.144
0.19	1	0	9	-202.094
0.19	1	0	10	-205.56
0.193	1	0	1	-202.47
0.193	1	0	2	-199.31
0.193	1	0	3	-201.133
0.193	1	0	4	-202.788
0.193	1	0	5	-199.668
0.193	1	0	6	-204.883
0.193	1	0	7	-200.968
0.193	1	0	8	-202.144
0.193	1	0	9	-202.094
0.193	1	0	10	-205.56
0.195	1	0	1	-202.47
0.195	1	0	2	-199.31
0.195	1	0	3	-201.133
0.195	1	0	4	-202.788
0.195	1	0	5	-199.668
0.195	1	0	6	-204.883
0.195	1	0	7	-200.968
0.195	1	0	8	-202.144
0.195	1	0	9	-202.094
0.195	1	0	10	-205.56
0.2	1	0	1	-202.47
0.2	1	0	2	-199.31
0.2	1	0	3	-201.133
0.2	1	0	4	-202.788
0.2	1	0	5	-199.668
0.2	1	0	6	-204.883
0.2	1	0	7	-200.968
0.2	1	0	8	-202.144
0.2	1	0	9	-202.094
0.2	1	0	10	-205.56
0.203	1	0	1	-202.47
0.203	1	0	2	-199.31
0.203	1	0	3	-201.133
0.203	1	0	4	-202.788
0.203	1	0	5	-199.668
0.203	1	0	6	-204.883
0.203	1	0	7	-200.968
0.203	1	0	8	-202.144
0.203	1	0	9	-202.094
0.203	1	0	10	-205.56
0.203071	1	0	1	-202.47
0.203071	1	0	2	-199.31
0.203071	1	0	3	-201.133
0.203071	1	0	4	-202.788
0.203071	1	0	5	-199.668
0.203071	1	0	6	-204.883
0.203071	1	0	7	-200.968
0.203071	1	0	8	-202.144
0.203071	1	0	9	-202.094
0.203071	1	0	10	-205.56
0.203143	1	0	1	-202.47
0.203143	1	0	2	-199.31
0.203143	1	0	3	-201.133
0.203143	1	0	4	-202.788
0.203143	1	0	5	-199.668
0.203143	1	0	6	-204.883
0.203143	1	0	7	-200.968
0.203143	1	0	8	-202.144
0.203143	1	0	9	-202.094
0.203143	1	0	10	-205.56
0.203214	1	0	1	-202.47
0.203214	1	0	2	-199.31
0.203214	1	0	3	-201.133
0.203214	1	0	4	-202.788
0.203214	1	0	5	-199.668
0.203214	1	0	6	-204.883
0.203214	1	0	7	-200.968
0.203214	1	0	8	-202.144
0.203214	1	0	9	-202.094
0.203214	1	0	10	-205.56
0.203286	1	0	1	-202.47
0.203286	1	0	2	-199.31
0.203286	1	0	3	-201.133
0.203286	1	0	4	-202.788
0.203286	1	0	5	-199.668
0.203286	1	0	6	-204.883
0.203286	1	0	7	-200.968
0.203286	1	0	8	-202.144
0.203286	1	0	9	-202.094
0.203286	1	0	10	-205.56
0.203357	1	0	1	-202.47
0.203357	1	0	2	-199.31
0.203357	1	0	3	-201.133
0.203357	1	0	4	-202.788
0.203357	1	0	5	-199.668
0.203357	1	0	6	-204.883
0.203357	1	0	7	-200.968
0.203357	1	0	8	-202.144
0.203357	1	0	9	-202.094
0.203357	1	0	10	-205.56
0.203429	1	0	1	-202.47
0.203429	1	0	2	-199.31
0.203429	1	0	3	-201.133
0.203429	1	0	4	-202.788
0.203429	1	0	5	-199.668
0.203429	1	0	6	-204.883
0.203429	1	0	7	-200.968
0.203429	1	0	8	-202.144
0.203429	1	0	9	-202.094
0.203429	1	0	10	-205.56
0.2035	1	0	1	-202.47
0.2035	1	0	2	-199.31
0.2035	1	0	3	-201.133
0.2035	1	0	4	-202.788
0.2035	1	0	5	-199.668
0.2035	1	0	6	-204.883
0.2035	1	0	7	-200.968
0.2035	1	0	8	-202.144
0.2035	1	0	9	-202.094
0.2035	1	0	10	-205.56
0.203571	1	0	1	-202.47
0.203571	1	0	2	-199.31
0.203571	1	0	3	-201.133
0.203571	1	0	4	-202.788
0.203571	1	0	5	-199.668
0.203571	1	0	6	-204.883
0.203571	1	0	7	-200.968
0.203571	1	0	8	-202.144
0.203571	1	0	9	-202.094
0.203571	1	0	10	-205.56
0.203643	1	0	1	-202.47
0.203643	1	0	2	-199.31
0.203643	1	0	3	-201.133
0.203643	1	0	4	-202.788
0.203643	1	0	5	-199.668
0.203643	1	0	6	-204.883
0.203643	1	0	7	-200.968
0.203643	1	0	8	-202.144
0.203643	1	0	9	-202.094
0.203643	1	0	10	-205.56
0.203786	1	0	1	-202.47
0.203786	1	0	2	-199.31
0.203786	1	0	3	-201.133
0.203786	1	0	4	-202.788
0.203786	1	0	5	-199.668
0.203786	1	0	6	-204.883
0.203786	1	0	7	-200.968
0.203786	1	0	8	-202.144
0.203786	1	0	9	-202.094
0.203786	1	0	10	-205.56
0.204	1	0	1	-202.47
0.204	1	0	2	-199.31
0.204	1	0	3	-201.133
0.204	1	0	4	-202.788
0.204	1	0	5	-199.668
0.204	1	0	6	-204.883
0.204	1	0	7	-200.968
0.204	1	0	8	-202.144
0.204	1	0	9	-202.094
0.204	1	0	10	-205.56
0.204071	1	0	1	-202.47
0.204071	1	0	2	-199.31
0.204071	1	0	3	-201.133
0.204071	1	0	4	-202.788
0.204071	1	0	5	-199.668
0.204071	1	0	6	-204.883
0.204071	1	0	7	-200.968
0.204071	1	0	8	-202.144
0.204071	1	0	9	-202.094
0.204071	1	0	10	-205.56
0.204143	1	0	1	-202.47
0.204143	1	0	2	-199.31
0.204143	1	0	3	-201.133
0.204143	1	0	4	-202.788
0.204143	1	0	5	-199.668
0.204143	1	0	6	-204.883
0.204143	1	0	7	-200.968
0.204143	1	0	8	-202.144
0.204143	1	0	9	-202.094
0.204143	1	0	10	-205.56
0.204214	1	0	1	-202.47
0.204214	1	0	2	-199.31
0.204214	1	0	3	-201.133
0.204214	1	0	4	-202.788
0.204214	1	0	5	-199.668
0.204214	1	0	6	-204.883
0.204214	1	0	7	-200.968
0.204214	1	0	8	-202.144
0.204214	1	0	9	-202.094
0.204214	1	0	10	-205.56
0.204286	1	0	1	-202.47
0.204286	1	0	2	-199.31
0.204286	1	0	3	-201.133
0.204286	1	0	4	-202.788
0.204286	1	0	5	-199.668
0.204286	1	0	6	-204.883
0.204286	1	0	7	-200.968
0.204286	1	0	8	-202.144
0.204286	1	0	9	-202.094
0.204286	1	0	10	-205.56
0.204357	1	0	1	-202.47
0.204357	1	0	2	-199.31
0.204357	1	0	3	-201.133
0.204357	1	0	4	-202.788
0.204357	1	0	5	-199.668
0.204357	1	0	6	-204.883
0.204357	1	0	7	-200.968
0.204357	1	0	8	-202.144
0.204357	1	0	9	-202.094
0.204357	1	0	10	-205.56
0.204429	1	0	1	-202.47
0.204429	1	0	2	-199.31
0.204429	1	0	3	-201.133
0.204429	1	0	4	-202.788
0.204429	1	0	5	-199.668
0.204429	1	0	6	-204.883
0.204429	1	0	7	-200.968
0.204429	1	0	8	-202.144
0.204429	1	0	9	-202.094
0.204429	1	0	10	-205.56
0.2045	1	0	1	-202.47
0.2045	1	0	2	-199.31
0.2045	1	0	3	-201.133
0.2045	1	0	4	-202.788
0.2045	1	0	5	-199.668
0.2045	1	0	6	-204.883
0.2045	1	0	7	-200.968
0.2045	1	0	8	-202.144
0.2045	1	0	9	-202.094
0.2045	1	0	10	-205.56
0.204643	1	0	1	-202.47
0.204643	1	0	2	-199.31
0.204643	1	0	3	-201.133
0.204643	1	0	4	-202.788
0.204643	1	0	5	-199.668
0.204643	1	0	6	-204.883
0.204643	1	0	7	-200.968
0.204643	1	0	8	-202.144
0.204643	1	0	9	-202.094
0.204643	1	0	10	-205.56
0.204786	1	0	1	-202.47
0.204786	1	0	2	-199.31
0.204786	1	0	3	-201.133
0.204786	1	0	4	-202.788
0.204786	1	0	5	-199.668
0.204786	1	0	6	-204.883
0.204786	1	0	7	-200.968
0.204786	1	0	8	-202.144
0.204786	1	0	9	-202.094
0.204786	1	0	10	-205.56
0.204857	1	0	1	-202.47
0.204857	1	0	2	-199.31
0.204857	1	0	3	-201.133
0.204857	1	0	4	-202.788
0.204857	1	0	5	-199.668
0.204857	1	0	6	-204.883
0.204857	1	0	7	-200.968
0.204857	1	0	8	-202.144
0.204857	1	0	9	-202.094
0.204857	1	0	10	-205.56
0.205	1	0	1	-202.47
0.205	1	0	2	-199.31
0.205	1	0	3	-201.133
0.205	1	0	4	-202.788
0.205	1	0	5	-199.668
0.205	1	0	6	-204.883
0.205	1	0	7	-200.968
0.205	1	0	8	-202.144
0.205	1	0	9	-202.094
0.205	1	0	10	-205.56
0.205071	1	0	1	-202.47
0.205071	1	0	2	-199.31
0.205071	1	0	3	-201.133
0.205071	1	0	4	-202.788
0.205071	1	0	5	-199.668
0.205071	1	0	6	-204.883
0.205071	1	0	7	-200.968
0.205071	1	0	8	-202.144
0.205071	1	0	9	-202.094
0.205071	1	0	10	-205.56
0.205143	1	0	1	-202.47
0.205143	1	0	2	-199.31
0.205143	1	0	3	-201.133
0.205143	1	0	4	-202.788
0.205143	1	0	5	-199.668
0.205143	1	0	6	-204.883
0.205143	1	0	7	-200.968
0.205143	1	0	8	-202.144
0.205143	1	0	9	-202.094
0.205143	1	0	10	-205.56
0.205214	1	0	1	-202.47
0.205214	1	0	2	-199.31
0.205214	1	0	3	-201.133
0.205214	1	0	4	-202.788
0.205214	1	0	5	-199.668
0.205214	1	0	6	-204.883
0.205214	1	0	7	-200.968
0.205214	1	0	8	-202.144
0.205214	1	0	9	-202.094
0.205214	1	0	10	-205.56
0.205286	1	0	1	-202.47
0.205286	1	0	2	-199.31
0.205286	1	0	3	-201.133
0.205286	1	0	4	-202.788
0.205286	1	0	5	-199.668
0.205286	1	0	6	-204.883
0.205286	1	0	7	-200.968
0.205286	1	0	8	-202.144
0.205286	1	0	9	-202.094
0.205286	1	0	10	-205.56
0.205357	1	0	1	-202.47
0.205357	1	0	2	-199.31
0.205357	1	0	3	-201.133
0.205357	1	0	4	-202.788
0.205357	1	0	5	-199.668
0.205357	1	0	6	-204.883
0.205357	1	0	7	-200.968
0.205357	1	0	8	-202.144
0.205357	1	0	9	-202.094
0.205357	1	0	10	-205.56
0.205429	1	0	1	-202.47
0.205429	1	0	2	-199.31
0.205429	1	0	3	-201.133
0.205429	1	0	4	-202.788
0.205429	1	0	5	-199.668
0.205429	1	0	6	-204.883
0.205429	1	0	7	-200.968
0.205429	1	0	8	-202.144
0.205429	1	0	9	-202.094
0.205429	1	0	10	-205.56
0.21	1	0	1	-202.47
0.21	1	0	2	-199.31
0.21	1	0	3	-201.133
0.21	1	0	4	-202.788
0.21	1	0	5	-199.668
0.21	1	0	6	-204.883
0.21	1	0	7	-200.968
0.21	1	0	8	-202.144
0.21	1	0	9	-202.094
0.21	1	0	10	-205.56
0.212	1	0	1	-202.47
0.212	1	0	2	-199.31
0.212	1	0	3	-201.133
0.212	1	0	4	-202.788
0.212	1	0	5	-199.668
